"FIPS","year","sex","race","var_type","cb_homeowner","cb_renter","noncb_homeowner","noncb_renter","homeownership","cost_burden","severe_housing_problems"
"01073",2005,"male","other","MOE",168.8165972068505,383.41470713021687,629.5169126371825,418.52740960270455,669.789682903335,444.2905643312156,364.26481227947346
"01073",2005,"male","other","percent",6.446719757299962,16.7614713689799,46.11300720515737,30.678801668562762,52.55972696245734,23.208191126279864,20.212362533181647
"01073",2005,"male","other","population",2637,2637,2637,2637,2637,2637,2637
"01073",2005,"male","other","CI",6.401842897491488,14.539806868798516,23.872465401485872,15.871346590925468,25.399684600050627,16.848333876799984,13.813606836536726
"01073",2005,"male","total","estimate",18990,12385,81811,23767,100801,31375,17013
"01073",2005,"male","total","MOE",3064.178816289121,2027.4314683223572,5664.032160044975,3603.7713181487043,5666.101229752585,3937.1668116707033,2710.464283636892
"01073",2005,"male","total","percent",13.866070841821646,9.04324841368937,59.73655195578045,17.354128788708532,73.54355296469507,22.909319255511015,12.422509912159645
"01073",2005,"male","total","population",136953,136953,136953,136953,137063,136953,136953
"01073",2005,"male","total","CI",2.237394446480998,1.4803848534331903,4.135748877384924,2.6313927538270097,4.13393930510246,2.8748306438491333,1.979120051139363
"01073",2005,"male","white","estimate",11582,4457,60595,11200,72177,16039,7497
"01073",2005,"male","white","MOE",2015.9507550973312,1128.8879468380596,4280.810858633707,2262.0213404477977,4457.159252424267,2146.7303257596773,1515.5858691175335
"01073",2005,"male","white","percent",13.186237675615365,5.0743447867568365,68.98809117198351,12.751326365644283,82.07154552897298,18.260582462372202,8.535419086003142
"01073",2005,"male","white","population",87834,87834,87834,87834,87944,87834,87834
"01073",2005,"male","white","CI",2.29518267993867,1.2852516643191243,4.873751461431458,2.575336817687681,5.0681789006916524,2.4440766966774565,1.725511611810385
"01073",2005,"total","black","estimate",17438,23103,38566,22947,56004,40541,26438
"01073",2005,"total","black","MOE",2741.15822678845,3277.9255862420064,4040.3929295026496,3306.04721644954,4590.8828755422965,4354.964934683172,3453.7382222573337
"01073",2005,"total","black","percent",17.08703235541968,22.638015168440237,37.789797558155485,22.485154917984595,54.79521750190791,39.72504752385992,25.905892958629746
"01073",2005,"total","black","population",102054,102054,102054,102054,102206,102054,102054
"01073",2005,"total","black","CI",2.6859880325988694,3.2119520903070984,3.959073558608824,3.2395077277221276,4.491793902062791,4.26731429898208,3.384226215785108
"01073",2005,"total","hispanic","estimate",237,1383,415,2572,652,1620,1617
"01073",2005,"total","hispanic","MOE",271.1389682270883,724.6798206613387,327.1317329074023,990.27975285396,419.97320365560233,771.4306382073505,719.6372082428062
"01073",2005,"total","hispanic","percent",5.14434556110267,30.019535489472542,9.008031256783156,55.82808769264164,14.152376817885825,35.16388105057521,35.09876275233341
"01073",2005,"total","hispanic","population",4607,4607,4607,4607,4607,4607,4607
"01073",2005,"total","hispanic","CI",5.8853693993290275,15.729972230547833,7.100753915941009,21.49511076305535,9.115980109737407,16.744750123884316,15.620516784085222
"01073",2005,"total","other","estimate",591,1237,2136,1562,2727,1828,1184
"01073",2005,"total","other","MOE",355.5955829450079,756.5462126334385,750.8995269741486,716.4137420661681,746.9635084410081,832.1584963500043,523.3276068618491
"01073",2005,"total","other","percent",10.694896851248643,22.385088671733623,38.65363735070576,28.26637712631198,49.348534201954394,33.07998552298226,21.425986246833155
"01073",2005,"total","other","population",5526,5526,5526,5526,5526,5526,5526
"01073",2005,"total","other","CI",6.4349544506878,13.690666171433922,13.588482210896643,12.96441806127702,13.517254948262906,15.058966636807893,9.470278806765274
"01073",2005,"total","total","estimate",43084,38225,135749,50142,178833,81309,46545
"01073",2005,"total","total","MOE",4992.631084157806,4363.957062649105,7210.567325318099,5378.945113108726,6913.431804642594,6608.060937161426,4243.5028484938
"01073",2005,"total","total","percent",16.124251497005986,14.305763473053892,50.80426646706587,18.765718562874252,66.86295623303498,30.430014970059883,17.419535928143713
"01073",2005,"total","total","population",267200,267200,267200,267200,267462,267200,267200
"01073",2005,"total","total","CI",1.8684996572446881,1.633217463566282,2.6985656157627615,2.0130782608939843,2.5848276781907686,2.473076698039456,1.5881372935979792
"01073",2005,"total","white","estimate",24818,12502,94632,23061,119450,37320,17306
"01073",2005,"total","white","MOE",3815.6415583650546,2379.010721534531,5565.335545978338,3707.3860095198816,5227.229533302751,4430.786063341498,2462.311973473812
"01073",2005,"total","white","percent",16.010270106378176,8.065130021353047,61.04778308916027,14.876816783108513,77.00341019706943,24.07540012773122,11.164224935973111
"01073",2005,"total","white","population",155013,155013,155013,155013,155123,155013,155013
"01073",2005,"total","white","CI",2.461497783002106,1.534716908604137,3.590237945190621,2.391661350673738,3.3697321050410003,2.858331922704224,1.588455144712903
"01073",2006,"female","black","estimate",13884,19455,16985,11692,30869,33339,19347
"01073",2006,"female","black","MOE",1630.2835553646796,2875.937367983698,2242.708413745253,1822.8712915662068,2494.446318036079,3096.812094082397,2643.4309060986443
"01073",2006,"female","black","percent",22.38777089783282,31.370936532507738,27.388093395252838,18.853199174406605,49.775864293085654,53.75870743034056,31.196787925696594
"01073",2006,"female","black","population",62016,62016,62016,62016,62016,62016,62016
"01073",2006,"female","black","CI",2.6288112025359256,4.6374119065784605,3.616338386457129,2.939356442798966,4.0222625097331,4.99356955315144,4.262498236098175
"01073",2006,"female","hispanic","estimate",636,174,397,388,1033,810,327
"01073",2006,"female","hispanic","MOE",778.9250441529981,311.8815450515628,374.944363204396,324.6631611532174,792.4316906759219,793.1020810762635,361.5968565595531
"01073",2006,"female","hispanic","percent",39.87460815047022,10.909090909090908,24.890282131661444,24.32601880877743,64.76489028213166,50.78369905956113,20.50156739811912
"01073",2006,"female","hispanic","population",1595,1595,1595,1595,1595,1595,1595
"01073",2006,"female","hispanic","CI",48.83542596570521,19.55370188411052,23.507483586482504,20.355057125593568,49.68223765993241,49.724268406035335,22.670649314078563
"01073",2006,"female","other","estimate",263,1077,1015,632,1278,1340,916
"01073",2006,"female","other","MOE",272.75841183866356,750.2213626690459,682.9094217994799,579.6662334514147,639.7407960914717,769.4698287465533,667.289439477915
"01073",2006,"female","other","percent",8.804820890525612,36.0562437227988,33.980582524271846,21.158352862403753,42.78540341479746,44.86106461332441,30.666220287914296
"01073",2006,"female","other","population",2987,2987,2987,2987,2987,2987,2987
"01073",2006,"female","other","CI",9.131516968150773,25.116215690292798,22.86271917641379,19.406301755989777,21.417502380029184,25.76062366074835,22.339787059856548
"01073",2006,"female","total","estimate",28799,27202,52837,21774,81636,56001,30718
"01073",2006,"female","total","MOE",3201.4342372958404,3348.5912496143433,3344.6753713998537,2313.3171838320186,4114.970261941908,4128.484933619263,3220.862972652089
"01073",2006,"female","total","percent",22.04927571739197,20.82657029981931,40.45340397513245,16.670750007656267,62.502679692524424,42.87584601721128,23.51851284721159
"01073",2006,"female","total","population",130612,130612,130612,130612,130612,130612,130612
"01073",2006,"female","total","CI",2.45110268374716,2.5637699825546987,2.560771882675293,1.77113678975287,3.150530014043049,3.160877203947005,2.4659778371452
"01073",2006,"female","white","estimate",14016,6496,34440,9062,48456,20512,10128
"01073",2006,"female","white","MOE",2142.0782346374517,1629.4471917509325,2653.0535061837236,1716.405722925818,3071.9480036495165,2337.7564325561166,1666.6600235782191
"01073",2006,"female","white","percent",21.89521042272003,10.147780173087137,53.80073109007405,14.156278314118786,75.69594151279408,32.04299059580717,15.821539038335363
"01073",2006,"female","white","population",64014,64014,64014,64014,64014,64014,64014
"01073",2006,"female","white","CI",3.3462652460984343,2.5454544189566852,4.144489496334745,2.681297408263533,4.7988690031079395,3.6519455627770743,2.603586752238915
"01073",2006,"male","black","estimate",8002,5715,18784,7575,26786,13717,8111
"01073",2006,"male","black","MOE",2011.4347732523545,1893.1419446445373,2834.166150948547,2027.8270032383186,3070.1006341321695,2632.740891112578,2133.859703528737
"01073",2006,"male","black","percent",19.967062581095917,14.260405230062881,46.87094520411218,18.901586984729015,66.8380077852081,34.227467811158796,20.239045812955382
"01073",2006,"male","black","population",40076,40076,40076,40076,40076,40076,40076
"01073",2006,"male","black","CI",5.019050736731097,4.723879490579243,7.071978617997172,5.059953596262897,7.660696262431803,6.569370423975891,5.324532646792936
"01073",2006,"male","hispanic","estimate",325,554,661,2000,986,879,1319
"01073",2006,"male","hispanic","MOE",331.1892026508413,530.6341395431979,692.3679738116142,825.3397141367002,765.6477510219696,677.1075577659358,740.7037895196365
"01073",2006,"male","hispanic","percent",9.180790960451978,15.649717514124294,18.67231638418079,56.49717514124294,25.757575757575758,24.83050847457627,37.259887005649716
"01073",2006,"male","hispanic","population",3540,3540,3540,3540,3828,3540,3540
"01073",2006,"male","hispanic","CI",9.35562719352659,14.9896649588474,19.558417339311134,23.314681190302267,20.001247414367022,19.12733214028067,20.923835862136624
"01073",2006,"male","other","estimate",525,179,414,1345,939,704,416
"01073",2006,"male","other","MOE",401.6393071198958,216.98946770811256,340.33018535313613,639.1979783056264,546.5294338196709,474.99271742312015,371.2335321835839
"01073",2006,"male","other","percent",21.315468940316688,7.267559886317498,16.808769792935443,54.608201380430366,38.12423873325213,28.583028826634187,16.889971579374745
"01073",2006,"male","other","population",2463,2463,2463,2463,2463,2463,2463
"01073",2006,"male","other","CI",16.306914621189435,8.809966208205951,13.817709514946655,25.952008863403424,22.189583183908685,19.285128600207884,15.072412999739502
"01073",2006,"male","total","estimate",21128,11895,78743,21033,99871,33023,17519
"01073",2006,"male","total","MOE",2754.583395765819,2589.6619854855094,4362.144564893081,2909.1861974107123,4334.291251623499,3607.362991894842,2751.7551198737237
"01073",2006,"male","total","percent",15.909758356614132,8.957145761639772,59.29487420839013,15.838221673355973,75.04188989157468,24.866904118253903,13.19211741052267
"01073",2006,"male","total","population",132799,132799,132799,132799,133087,132799,132799
"01073",2006,"male","total","CI",2.0742501041166115,1.9500613600143897,3.284772148053134,2.1906687530860265,3.2567352571051265,2.716408249982938,2.0721203622570377
"01073",2006,"male","white","estimate",12276,5447,58884,10113,71160,17723,7673
"01073",2006,"male","white","MOE",1902.9038690449524,1760.3860877883437,2965.7290485205745,2315.9315522104166,2950.28106156261,2547.937998885079,1606.3949740533149
"01073",2006,"male","white","percent",14.15590405904059,6.281134686346864,67.90129151291512,11.661669741697416,82.05719557195572,20.437038745387454,8.848016605166052
"01073",2006,"male","white","population",86720,86720,86720,86720,86720,86720,86720
"01073",2006,"male","white","CI",2.1943079670721315,2.0299655071360054,3.419890507980367,2.6705852769954066,3.4020768698830834,2.9381203861682184,1.8523927283825126
"01073",2006,"total","black","estimate",21886,25170,35769,19267,57655,47056,27458
"01073",2006,"total","black","MOE",2716.6692900657326,3446.3270192971386,3431.1241264447503,2805.8311529137404,3665.1200995970107,4088.3726953515693,2858.738652039786
"01073",2006,"total","black","percent",21.437526936488656,24.654233436508246,35.03604591936685,18.87219370763625,56.4735728558555,46.0917603729969,26.895349292794734
"01073",2006,"total","black","population",102092,102092,102092,102092,102092,102092,102092
"01073",2006,"total","black","CI",2.6610011460895393,3.375707224167553,3.360815858681141,2.7483359645356544,3.590016945105406,4.00459653582217,2.8001593190845373
"01073",2006,"total","hispanic","estimate",961,728,1058,2388,2019,1689,1646
"01073",2006,"total","hispanic","MOE",849.3379691419958,619.4638423628937,774.7783228035294,896.4808555645515,1211.3245430220177,1010.2095542763641,798.4861178348689
"01073",2006,"total","hispanic","percent",18.714703018500487,14.177215189873419,20.603700097370982,46.504381694255116,37.23031532362161,32.8919182083739,32.05452775073028
"01073",2006,"total","hispanic","population",5135,5135,5135,5135,5423,5135,5135
"01073",2006,"total","hispanic","CI",16.540174666835362,12.063560708138144,15.088185448948966,17.45824450953362,22.336797769168683,19.673019557475442,15.549875712460931
"01073",2006,"total","other","estimate",788,1256,1429,1977,2217,2044,1332
"01073",2006,"total","other","MOE",512.6615514328142,727.4731431116547,811.6815735665681,751.5690682856434,820.3705875273687,814.9691765789368,724.3602981916182
"01073",2006,"total","other","percent",14.458715596330277,23.045871559633028,26.22018348623853,36.27522935779817,40.67889908256881,37.50458715596331,24.440366972477065
"01073",2006,"total","other","population",5450,5450,5450,5450,5450,5450,5450
"01073",2006,"total","other","CI",9.406633971244299,13.348131066268895,14.893239881955378,13.79025813368153,15.052671330777406,14.953562873008014,13.291014645717766
"01073",2006,"total","total","estimate",49927,39097,131580,42807,181507,89024,48237
"01073",2006,"total","total","MOE",4088.0125157695825,4365.582654165134,4743.916273616399,3234.1606996437267,4613.13640059816,4862.352582760093,3916.821480353681
"01073",2006,"total","total","percent",18.9540300139326,14.842584402321846,49.952355824168315,16.251029759577236,68.83112943166262,33.79661441625444,18.312447088390385
"01073",2006,"total","total","population",263411,263411,263411,263411,263699,263411,263411
"01073",2006,"total","total","CI",1.5519520884737472,1.657327391097993,1.8009560244698963,1.2278001676633576,1.7493947267900753,1.8459185769615138,1.486962002480413
"01073",2006,"total","white","estimate",26292,11943,93324,19175,119616,38235,17801
"01073",2006,"total","white","MOE",2428.3723510427208,2226.045673196925,3685.5565856078642,2618.1148131458544,3636.233244529117,2538.7021775185644,2213.872694564324
"01073",2006,"total","white","percent",17.442647312484244,7.923228999429459,61.913038863162924,12.721084824923375,79.35568617564716,25.365876311913706,11.80954529170592
"01073",2006,"total","white","population",150734,150734,150734,150734,150734,150734,150734
"01073",2006,"total","white","CI",1.6110315861336666,1.4768039547792302,2.445073165714347,1.7369105929291695,2.412351058506453,1.6842266360068494,1.4687281532795016
"01073",2007,"female","black","estimate",13784,18362,17353,13468,31137,32146,19619
"01073",2007,"female","black","MOE",2016.1325288404905,2788.967124275132,2243.2450700324744,2835.5293305635632,2775.261139824278,3047.3856320309624,2432.6140195471826
"01073",2007,"female","black","percent",21.89083170549653,29.16130671621643,27.558880048279256,21.38898153000778,49.37835009039297,51.052138421712954,31.15759048390427
"01073",2007,"female","black","population",62967,62967,62967,62967,63058,62967,62967
"01073",2007,"female","black","CI",3.201887542427764,4.429252027689317,3.5625725698103365,4.503199025781065,4.401124583437912,4.839655108280469,3.8633157360953874
"01073",2007,"female","hispanic","estimate",270,697,379,805,649,967,827
"01073",2007,"female","hispanic","MOE",353.8851532612664,469.52951188663314,423.7241886253958,669.1586232108946,553.6738644274262,630.6556495852154,578.7923792269988
"01073",2007,"female","hispanic","percent",12.552301255230125,32.40353324035332,17.61971176197118,37.42445374244537,30.172013017201298,44.95583449558345,38.447233844723385
"01073",2007,"female","hispanic","population",2151,2151,2151,2151,2151,2151,2151
"01073",2007,"female","hispanic","CI",16.452122420328514,21.828429190452496,19.698939499088603,31.10918750399324,25.740300531261095,29.319184081135074,26.908060401069218
"01073",2007,"female","other","estimate",794,398,959,343,1753,1192,488
"01073",2007,"female","other","MOE",524.6515971790232,328.4332205449077,534.8751080357451,273.2755476391915,792.3276166862734,535.1741479672761,459.1038513098099
"01073",2007,"female","other","percent",31.836407377706493,15.958299919807539,38.452285485164396,13.753007217321572,70.28869286287089,47.79470729751403,19.566960705693663
"01073",2007,"female","other","population",2494,2494,2494,2494,2494,2494,2494
"01073",2007,"female","other","CI",21.03655161102739,13.16893426402998,21.44647586350221,10.957319472301181,31.769351110115213,21.45846623766143,18.40833405412229
"01073",2007,"female","total","estimate",28494,26201,52933,23271,81427,54695,31778
"01073",2007,"female","total","MOE",2962.4587099953815,3361.1910076703093,3174.867536674365,3598.037094122989,3693.6657433573023,3377.959515485828,2980.530441240074
"01073",2007,"female","total","percent",21.767927944445717,20.016195692862436,40.4380476550623,17.77782870762955,62.16276051606992,41.78412363730815,24.276732442570225
"01073",2007,"female","total","population",130899,130899,130899,130899,130990,130899,130899
"01073",2007,"female","total","CI",2.263163744562893,2.567774396802351,2.425432995419648,2.748712437927707,2.8198074229767935,2.5805846610637424,2.2769696034653237
"01073",2007,"female","white","estimate",13646,6744,34242,8655,47888,20390,10844
"01073",2007,"female","white","MOE",2109.386200399894,1606.0504501536525,2915.483045423391,1827.1883317802108,3308.2171866420367,2462.1708332671087,1891.4693278744967
"01073",2007,"female","white","percent",21.56209016069651,10.656216916586345,54.105898525763585,13.675794396953561,75.66798868646009,32.21830707728285,17.134640605495598
"01073",2007,"female","white","population",63287,63287,63287,63287,63287,63287,63287
"01073",2007,"female","white","CI",3.333048177982673,2.537725678502145,4.606764494166876,2.8871463835862197,5.227325021950854,3.890484354238799,2.9887170001335135
"01073",2007,"male","black","estimate",7005,5888,18081,10567,25086,12893,7408
"01073",2007,"male","black","MOE",1860.3915482953448,1731.93428729304,2705.6501740404287,1969.5014538218168,2839.9026969592196,2271.326147484108,1954.7693574422024
"01073",2007,"male","black","percent",16.862858380876723,14.173948629065261,43.5256734310681,25.437519558989912,60.38853181194482,31.036807009941985,17.83298428059026
"01073",2007,"male","black","population",41541,41541,41541,41541,41541,41541,41541
"01073",2007,"male","black","CI",4.4784467111897754,4.169216646910377,6.513204241689966,4.741102654779175,6.836385009891961,5.467673256503473,4.7056386640721275
"01073",2007,"male","hispanic","estimate",392,1297,915,957,1307,1689,931
"01073",2007,"male","hispanic","MOE",385.33945050273536,1080.7395860786723,820.8448629133584,692.9772148905763,902.947377865953,1134.4864475980971,643.6776957948365
